Name,Type,Tile_km,Center_Lat,Center_Lon,Lat_min,Lat_max,Lon_min,Lon_max
Riga,City,5.0,56.9496,24.1052,56.927077477477475,56.97212252252252,24.063902804111677,24.146497195888323
Vaduz,City,5.0,47.141,9.5215,47.11847747747748,47.16352252252252,9.48838821158544,9.55461178841456
Vilnius,City,5.0,54.6872,25.2797,54.664677477477476,54.70972252252252,25.240736390244464,25.318663609755532
Luxembourg,City,5.0,49.6116,6.1319,49.58907747747748,49.634122522522524,6.0971411813764504,6.166658818623549
Valletta,City,5.0,35.8989,14.5146,35.876377477477476,35.92142252252252,14.48679623239094,14.54240376760906
Chisinau,City,5.0,47.0105,28.8638,46.98797747747748,47.03302252252252,28.830769202189668,28.896830797810335
Monaco,City,5.0,43.7384,7.4246,43.71587747747748,43.76092252252252,7.393427128861112,7.455772871138888
Podgorica,City,5.0,42.4304,19.2594,42.40787747747748,42.45292252252252,19.2288857067229,19.2899142932771
Amsterdam,City,5.0,52.3676,4.9041,52.34507747747748,52.390122522522525,4.8672136960338,4.940986303966199
Skopje,City,5.0,41.9973,21.428,41.97477747747748,42.019822522522524,21.397694242396437,21.458305757603565
Oslo,City,5.0,59.9139,10.7522,59.89137747747748,59.93642252252252,10.707271843282829,10.797128156717172
Warsaw,City,5.0,52.2297,21.0122,52.20717747747748,52.25222252252252,20.975428377627104,21.048971622372896
Lisbon,City,5.0,38.7223,-9.1393,38.699777477477475,38.74482252252252,-9.16816810798578,-9.11043189201422
Bucharest,City,5.0,44.4268,26.1025,44.40427747747748,44.44932252252252,26.070962270335297,26.1340377296647
Moscow,City,5.0,55.7558,37.6173,55.73327747747748,55.77832252252252,37.5772757028415,37.6573242971585
San Marino,City,5.0,43.9424,12.4578,43.91987747747748,43.96492252252252,12.4265203601823,12.489079639817701
Belgrade,City,5.0,44.7866,20.4489,44.76407747747748,44.80912252252252,20.41716631595119,20.480633684048808
Bratislava,City,5.0,48.1486,17.1077,48.12607747747748,48.17112252252252,17.07394327060948,17.141456729390523
Ljubljana,City,5.0,46.0569,14.5058,46.03437747747748,46.07942252252252,14.473344162570728,14.538255837429274
Madrid,City,5.0,40.4168,-3.7038,40.39427747747748,40.439322522522524,-3.7333824189955918,-3.6742175810044087
Stockholm,City,5.0,59.3293,18.0686,59.30677747747748,59.351822522522525,18.024447120286492,18.112752879713508
Bern,City,5.0,46.948,7.4474,46.92547747747748,46.97052252252252,7.414407790125341,7.480392209874659
Kyiv,City,5.0,50.4501,30.5234,50.42757747747748,50.47262252252252,30.488028939988364,30.558771060011633
London,City,5.0,51.5074,-0.1278,51.484877477477475,51.52992252252252,-0.16398578414789844,-0.09161421585210155
Ottawa,City,5.0,45.4215,-75.6972,45.39897747747748,45.44402252252252,-75.72928858466653,-75.66511141533346
Washington D.C.,City,5.0,38.9072,-77.0369,38.88467747747748,38.929722522522525,-77.0658431480502,-77.0079568519498
Mexico City,City,5.0,19.4326,-99.1332,19.41007747747748,19.455122522522522,-99.15708305633794,-99.10931694366207
Brasilia,City,5.0,-15.8267,-47.9218,-15.849222522522524,-15.804177477477477,-47.94520997097967,-47.89839002902033
Buenos Aires,City,5.0,-34.6037,-58.3816,-34.626222522522525,-34.58117747747748,-58.408963055292965,-58.35423694470703
Santiago,City,5.0,-33.4489,-70.6693,-33.47142252252252,-33.42637747747748,-70.69629319669107,-70.64230680330894
Montevideo,City,5.0,-34.9011,-56.1645,-34.92362252252252,-34.87857747747748,-56.191961772435874,-56.13703822756412
La Paz,City,5.0,-16.4897,-68.1193,-16.51222252252252,-16.467177477477478,-68.14278858998979,-68.0958114100102
Caracas,City,5.0,10.4806,-66.9036,10.458077477477477,10.503122522522524,-66.9265046510071,-66.8806953489929
Lima,City,5.0,-12.0464,-77.0428,-12.068922522522524,-12.023877477477477,-77.06582966084174,-77.01977033915826
Dakar,City,5.0,14.7167,-17.4677,14.694177477477476,14.739222522522523,-17.490986464112222,-17.44441353588778
Libreville,City,5.0,0.4162,9.4673,0.3936774774774775,0.43872252252252253,9.44477688324625,9.48982311675375
