territory_id_id,Nom du fichier/tuile,Nom simplifié,Longitude centre,Latitude centre,Largeur (°),Hauteur (°),country
175,ESA_WorldCover_10m_2021_v200_N00W159_Map_3.tif,N00W159_3,-158.25,2.25,1.5,1.5,Kiribati
176,ESA_WorldCover_10m_2021_v200_N00W159_Map_4.tif,N00W159_4,-156.75,2.25,1.5,1.5,Kiribati
177,ESA_WorldCover_10m_2021_v200_N03E000_Map_1.tif,N03E000_1,0.75,3.75,1.5,1.5,Ocean
178,ESA_WorldCover_10m_2021_v200_N03E000_Map_2.tif,N03E000_2,2.25,3.75,1.5,1.5,Ocean
179,ESA_WorldCover_10m_2021_v200_N03E000_Map_3.tif,N03E000_3,0.75,5.25,1.5,1.5,Ghana
180,ESA_WorldCover_10m_2021_v200_N03E000_Map_4.tif,N03E000_4,2.25,5.25,1.5,1.5,Ocean
181,ESA_WorldCover_10m_2021_v200_N03E003_Map_1.tif,N03E003_1,3.75,3.75,1.5,1.5,Ocean
182,ESA_WorldCover_10m_2021_v200_N03E003_Map_2.tif,N03E003_2,5.25,3.75,1.5,1.5,Nigeria
183,ESA_WorldCover_10m_2021_v200_N03E003_Map_3.tif,N03E003_3,3.75,5.25,1.5,1.5,Ocean
184,ESA_WorldCover_10m_2021_v200_N03E003_Map_4.tif,N03E003_4,5.25,5.25,1.5,1.5,Nigeria
185,ESA_WorldCover_10m_2021_v200_N03E006_Map_1.tif,N03E006_1,6.75,3.75,1.5,1.5,Nigeria
186,ESA_WorldCover_10m_2021_v200_N03E006_Map_2.tif,N03E006_2,8.25,3.75,1.5,1.5,Equatorial Guinea
187,ESA_WorldCover_10m_2021_v200_N03E006_Map_3.tif,N03E006_3,6.75,5.25,1.5,1.5,Nigeria
188,ESA_WorldCover_10m_2021_v200_N03E006_Map_4.tif,N03E006_4,8.25,5.25,1.5,1.5,Nigeria
189,ESA_WorldCover_10m_2021_v200_N03E009_Map_1.tif,N03E009_1,9.75,3.75,1.5,1.5,Cameroon
190,ESA_WorldCover_10m_2021_v200_N03E009_Map_2.tif,N03E009_2,11.25,3.75,1.5,1.5,Cameroon
191,ESA_WorldCover_10m_2021_v200_N03E009_Map_3.tif,N03E009_3,9.75,5.25,1.5,1.5,Cameroon
192,ESA_WorldCover_10m_2021_v200_N03E009_Map_4.tif,N03E009_4,11.25,5.25,1.5,1.5,Cameroon
193,ESA_WorldCover_10m_2021_v200_N03E012_Map_1.tif,N03E012_1,12.75,3.75,1.5,1.5,Cameroon
194,ESA_WorldCover_10m_2021_v200_N03E012_Map_2.tif,N03E012_2,14.25,3.75,1.5,1.5,Cameroon
195,ESA_WorldCover_10m_2021_v200_N03E012_Map_3.tif,N03E012_3,12.75,5.25,1.5,1.5,Cameroon
196,ESA_WorldCover_10m_2021_v200_N03E012_Map_4.tif,N03E012_4,14.25,5.25,1.5,1.5,Cameroon
197,ESA_WorldCover_10m_2021_v200_N03E015_Map_1.tif,N03E015_1,15.75,3.75,1.5,1.5,Central African Republic
198,ESA_WorldCover_10m_2021_v200_N03E015_Map_2.tif,N03E015_2,17.25,3.75,1.5,1.5,Central African Republic
199,ESA_WorldCover_10m_2021_v200_N03E015_Map_3.tif,N03E015_3,15.75,5.25,1.5,1.5,Central African Republic
200,ESA_WorldCover_10m_2021_v200_N03E015_Map_4.tif,N03E015_4,17.25,5.25,1.5,1.5,Central African Republic
201,ESA_WorldCover_10m_2021_v200_N03E018_Map_1.tif,N03E018_1,18.75,3.75,1.5,1.5,Democratic Republic of the Congo
202,ESA_WorldCover_10m_2021_v200_N03E018_Map_2.tif,N03E018_2,20.25,3.75,1.5,1.5,Democratic Republic of the Congo
203,ESA_WorldCover_10m_2021_v200_N03E018_Map_3.tif,N03E018_3,18.75,5.25,1.5,1.5,Central African Republic
204,ESA_WorldCover_10m_2021_v200_N03E018_Map_4.tif,N03E018_4,20.25,5.25,1.5,1.5,Central African Republic
205,ESA_WorldCover_10m_2021_v200_N03E021_Map_1.tif,N03E021_1,21.75,3.75,1.5,1.5,Democratic Republic of the Congo
206,ESA_WorldCover_10m_2021_v200_N03E021_Map_2.tif,N03E021_2,23.25,3.75,1.5,1.5,Democratic Republic of the Congo
207,ESA_WorldCover_10m_2021_v200_N03E021_Map_3.tif,N03E021_3,21.75,5.25,1.5,1.5,Central African Republic
208,ESA_WorldCover_10m_2021_v200_N03E021_Map_4.tif,N03E021_4,23.25,5.25,1.5,1.5,Central African Republic
209,ESA_WorldCover_10m_2021_v200_N03E024_Map_1.tif,N03E024_1,24.75,3.75,1.5,1.5,Democratic Republic of the Congo
210,ESA_WorldCover_10m_2021_v200_N03E024_Map_2.tif,N03E024_2,26.25,3.75,1.5,1.5,Democratic Republic of the Congo
211,ESA_WorldCover_10m_2021_v200_N03E024_Map_3.tif,N03E024_3,24.75,5.25,1.5,1.5,Central African Republic
212,ESA_WorldCover_10m_2021_v200_N03E024_Map_4.tif,N03E024_4,26.25,5.25,1.5,1.5,Central African Republic
213,ESA_WorldCover_10m_2021_v200_N03E027_Map_1.tif,N03E027_1,27.75,3.75,1.5,1.5,Democratic Republic of the Congo
214,ESA_WorldCover_10m_2021_v200_N03E027_Map_2.tif,N03E027_2,29.25,3.75,1.5,1.5,Democratic Republic of the Congo
215,ESA_WorldCover_10m_2021_v200_N03E027_Map_3.tif,N03E027_3,27.75,5.25,1.5,1.5,South Sudan
216,ESA_WorldCover_10m_2021_v200_N03E027_Map_4.tif,N03E027_4,29.25,5.25,1.5,1.5,South Sudan
217,ESA_WorldCover_10m_2021_v200_N03E030_Map_1.tif,N03E030_1,30.75,3.75,1.5,1.5,South Sudan
